ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-12-13T22:14:30Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,167684,BR,189.60.198.60,Letícia,Zé Vaqueiro,O Original,spotify:track:2R1OgezGfBMeiAcMpJ1EkH,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:16:00Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,89865,BR,189.60.198.60,JBL,Solange Almeida,"Sol e Mar, Vol. 2",spotify:track:6THoM5F4gvHguHHyLfxGjU,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-13T22:21:51Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,349981,BR,189.60.198.60,Saudade de Você,Ney Alves,Saudade de Você,spotify:track:1XfF29EiHZik9aWmHlpBhT,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-13T22:24:39Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,167979,BR,189.60.198.60,Perdeu Playboy - Ao Vivo,Calcinha Preta,"CP 25 Anos, Pt. 4",spotify:track:3ZGnZAXjGfwEYtpBD7iNxQ,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:24:57Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,18233,BR,189.60.198.60,Se Quer Saber - Ao Vivo,Márcia Fellipe,Retrô,spotify:track:4y4Xx3472fggyagdjTSq1k,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-12-13T22:27:51Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,172820,BR,189.60.198.60,Volta Logo,Giannini Alencar,Volta Logo,spotify:track:3S1j0boXGGSTXvQcNB87aQ,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-12-13T22:32:09Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,258220,BR,189.60.198.60,Nêga,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,spotify:track:3S2iI46NmKyZsoxs2NByIP,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:34:37Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,148285,BR,189.60.198.60,Tá Faltando Eu,Luan Estilizado,Tá Faltando Eu,spotify:track:3jr84zsemJUVRODvbteOoX,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:38:37Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,240213,BR,189.60.198.60,Romance Desapegado,Xand Avião,Xand Avião Na Pressão,spotify:track:48RTF6dOSAUj9cq3Zs0Aog,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-12-13T22:41:20Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,162722,BR,189.60.198.60,Decida,Zé Vaqueiro,O Estouro das Vaquejadas,spotify:track:26SiLqV7fI8m3ruKzI0hpz,,,,,,,,trackdone,trackdone,False,False,False,,False
