Município;Ano
Santa Rosa do Tocantins (TO);4789
Santa Tereza do Tocantins (TO);2889
Santa Terezinha do Tocantins (TO);2463
São Bento do Tocantins (TO);5936
São Félix do Tocantins (TO);1875
São Miguel do Tocantins (TO);13939
São Salvador do Tocantins (TO);2385
São Sebastião do Tocantins (TO);4189
São Valério (TO);4547
Silvanópolis (TO);5252
Sítio Novo do Tocantins (TO);11334
Sucupira (TO);1599
Taguatinga (TO);14247
Taipas do Tocantins (TO);2086
Talismã (TO);2509
Palmas (TO);323625
Tocantínia (TO);7751
Tocantinópolis (TO);23203
Tupirama (TO);2003
Tupiratins (TO);1897
Wanderlândia (TO);10751
Xambioá (TO);10683
Açailândia (MA);110506
Afonso Cunha (MA);6296
Água Doce do Maranhão (MA);12446
Alcântara (MA);18774
Aldeias Altas (MA);23782
Altamira do Maranhão (MA);6565
Alto Alegre do Maranhão (MA);24543
Alto Alegre do Pindaré (MA);26411
Alto Parnaíba (MA);11382
Amapá do Maranhão (MA);7364
Amarante do Maranhão (MA);38333
Anajatuba (MA);26221
Anapurus (MA);14111
Apicum-Açu (MA);17984
Araguanã (MA);11347
Araioses (MA);40278
Arame (MA);26191
Arari (MA);30521
Axixá (MA);12079
Bacabal (MA);107620
Bacabeira (MA);17414
Bacuri (MA);16610
Bacurituba (MA);5374
Balsas (MA);106094
Barão de Grajaú (MA);19458
Barra do Corda (MA);87672
Barreirinhas (MA);67999
Belágua (MA);8716
Bela Vista do Maranhão (MA);12073
Benedito Leite (MA);5597
Bequimão (MA);19983
Bernardo do Mearim (MA);5983
Boa Vista do Gurupi (MA);7769
Bom Jardim (MA);34035
Bom Jesus das Selvas (MA);29588
Bom Lugar (MA);12414
Brejo (MA);35322
Brejo de Areia (MA);9387
Buriti (MA);30799
Buriti Bravo (MA);22940
Buriticupu (MA);56896
Buritirana (MA);13157
Cachoeira Grande (MA);10004
Cajapió (MA);10342
Cajari (MA);16711
Campestre do Maranhão (MA);12553
Cândido Mendes (MA);20413
Cantanhede (MA);24976
Capinzal do Norte (MA);11664
Carolina (MA);24606
Carutapera (MA);24855
Caxias (MA);163428
Cedral (MA);10444
Central do Maranhão (MA);7233
Centro do Guilherme (MA);12668
Centro Novo do Maranhão (MA);16529
Chapadinha (MA);84202
Cidelândia (MA);13152
Codó (MA);118295
Coelho Neto (MA);42918
Colinas (MA);41745
Conceição do Lago-Açu (MA);15264
Coroatá (MA);61351
Cururupu (MA);32608
Davinópolis (MA);14788
